epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88.583,0.97632,1.76295,1.23408,0.45471,0.43337,0.46426,0.27771,1.58744,1.87521,1.56662,0.0079705,0.0079705,0.0079705
43,90.583,0.96741,1.76098,1.17344,0.45471,0.43337,0.46426,0.27771,1.58744,1.87521,1.56662,0.007921,0.007921,0.007921
44,92.6161,0.96406,1.80917,1.15662,0.53028,0.41971,0.48006,0.28256,1.60727,1.87816,1.61593,0.0078715,0.0078715,0.0078715
45,94.6738,1.03089,1.77472,1.2938,0.46614,0.4766,0.4824,0.28417,1.61086,1.90501,1.6206,0.007822,0.007822,0.007822
46,96.7292,0.97175,1.65507,1.18231,0.48118,0.48731,0.48295,0.28575,1.55348,1.9211,1.55178,0.0077725,0.0077725,0.0077725
47,98.814,0.95142,1.65718,1.17212,0.47566,0.47841,0.49035,0.28149,1.5923,1.82614,1.61732,0.007723,0.007723,0.007723
48,100.79,0.9608,1.60015,1.22527,0.54901,0.42703,0.5066,0.30189,1.53786,1.88464,1.56741,0.0076735,0.0076735,0.0076735
49,102.915,0.94696,1.67353,1.24113,0.6096,0.40004,0.48289,0.27589,1.61072,1.84188,1.6259,0.007624,0.007624,0.007624
50,104.907,0.98369,1.56815,1.18227,0.49018,0.43213,0.45192,0.25507,1.64029,2.05511,1.66271,0.0075745,0.0075745,0.0075745
51,106.873,1.02226,1.56141,1.18115,0.43429,0.50942,0.48571,0.25406,1.73478,1.91443,1.75616,0.007525,0.007525,0.007525
52,108.936,1.0153,1.62062,1.19029,0.46139,0.46307,0.48415,0.27953,1.60463,1.97455,1.64812,0.0074755,0.0074755,0.0074755
53,111.023,0.96825,1.4794,1.16851,0.55882,0.48236,0.53774,0.3024,1.60823,1.78429,1.64314,0.007426,0.007426,0.007426
54,113.074,0.92861,1.42433,1.13602,0.58891,0.44647,0.53986,0.31325,1.56331,1.89287,1.61127,0.0073765,0.0073765,0.0073765
55,115.118,1.06762,1.63114,1.21426,0.60371,0.46234,0.52825,0.2961,1.64322,1.81985,1.69235,0.007327,0.007327,0.007327
56,117.22,0.90747,1.45532,1.13485,0.55993,0.45811,0.51554,0.29261,1.55436,1.83891,1.58654,0.0072775,0.0072775,0.0072775
57,119.501,0.88267,1.49236,1.11732,0.56536,0.46953,0.51423,0.28078,1.66571,1.83123,1.66401,0.007228,0.007228,0.007228
58,121.542,0.95054,1.54061,1.17633,0.52201,0.48117,0.50627,0.28493,1.58563,1.92504,1.61155,0.0071785,0.0071785,0.0071785
59,123.682,0.89788,1.39812,1.15077,0.52201,0.48117,0.50627,0.28493,1.58563,1.92504,1.61155,0.007129,0.007129,0.007129
60,125.896,0.91633,1.43985,1.1289,0.55823,0.51044,0.52969,0.29162,1.66043,1.7658,1.66112,0.0070795,0.0070795,0.0070795
61,128.004,0.88993,1.3505,1.12881,0.60922,0.48699,0.56051,0.32256,1.5527,1.73378,1.58579,0.00703,0.00703,0.00703
