epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,376.133,0.3981,0.6264,0.86916,0.72158,0.6487,0.6862,0.38987,1.51869,1.3754,1.62166,0.0010405,0.0010405,0.0010405
183,378.148,0.42997,0.67816,0.88442,0.72896,0.63205,0.68881,0.39093,1.52018,1.35994,1.62367,0.000991,0.000991,0.000991
184,380.145,0.40459,0.66065,0.8871,0.70742,0.64717,0.68747,0.39083,1.51862,1.35137,1.61759,0.0009415,0.0009415,0.0009415
185,382.123,0.41166,0.63124,0.84109,0.71837,0.64959,0.6886,0.39449,1.52114,1.34812,1.62499,0.000892,0.000892,0.000892
186,384.066,0.42973,0.67955,0.89097,0.74235,0.6615,0.69246,0.39319,1.5233,1.34436,1.62535,0.0008425,0.0008425,0.0008425
187,386.072,0.40962,0.65668,0.86981,0.74235,0.6615,0.69246,0.39319,1.5233,1.34436,1.62535,0.000793,0.000793,0.000793
188,388.071,0.3958,0.65085,0.88137,0.74626,0.63576,0.69274,0.39416,1.52228,1.33889,1.62413,0.0007435,0.0007435,0.0007435
189,390,0.40493,0.63704,0.86894,0.75687,0.62383,0.6878,0.39227,1.52401,1.3392,1.62551,0.000694,0.000694,0.000694
190,392.001,0.40483,0.63847,0.86721,0.75763,0.62246,0.6893,0.39201,1.52203,1.33568,1.62533,0.0006445,0.0006445,0.0006445
191,394.122,0.42476,0.63981,0.87736,0.74568,0.63141,0.68861,0.39474,1.52015,1.32961,1.62588,0.000595,0.000595,0.000595
192,396.111,0.41744,0.65432,0.88024,0.74567,0.6367,0.68462,0.38738,1.52356,1.33214,1.62831,0.0005455,0.0005455,0.0005455
193,398.163,0.44726,0.64747,0.88152,0.74584,0.63243,0.6897,0.39107,1.52241,1.32722,1.62682,0.000496,0.000496,0.000496
194,400.16,0.39233,0.6415,0.87068,0.7515,0.63141,0.68733,0.39025,1.52643,1.32045,1.63183,0.0004465,0.0004465,0.0004465
195,402.18,0.39447,0.65179,0.86565,0.76689,0.62488,0.6918,0.3893,1.5312,1.32076,1.63736,0.000397,0.000397,0.000397
196,404.226,0.40346,0.66773,0.88678,0.75251,0.63315,0.69022,0.39258,1.53045,1.31666,1.63805,0.0003475,0.0003475,0.0003475
197,406.326,0.39011,0.61574,0.85848,0.74507,0.64317,0.69124,0.38969,1.53633,1.31922,1.64471,0.000298,0.000298,0.000298
198,408.288,0.3927,0.65604,0.86123,0.75757,0.6451,0.68482,0.3843,1.53462,1.32374,1.63728,0.0002485,0.0002485,0.0002485
199,410.42,0.40866,0.62641,0.86619,0.7572,0.62306,0.68635,0.38579,1.53537,1.32331,1.64359,0.000199,0.000199,0.000199
200,412.475,0.4087,0.65231,0.85482,0.75713,0.62326,0.68322,0.38672,1.53196,1.32473,1.63748,0.0001495,0.0001495,0.0001495
